card_id,implementation,hooks,source_kind,upstream_repositories,upstream_match_count,verification_status
CAP_004,declarative,deathrattle,local_spec,,0,focused_test_and_regression
CAP_104,legacy_compatibility,,local_legacy,,0,regression_suite_only
CAP_105,legacy_compatibility,,local_legacy,,0,regression_suite_only
CAP_106,declarative,battlecry,local_spec,,0,focused_test_and_regression
CAP_107,declarative,battlecry,local_spec,,0,focused_test_and_regression
CAP_107t,legacy_compatibility,,local_legacy,,0,regression_suite_only
CAP_800,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_111,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_130,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_150,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_151,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_151t,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_160,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_200,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_210,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_464,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_469,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_476,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_484,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_490,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_497,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_550,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_556,legacy_special_case,,local_spec,,0,focused_test_and_regression
CATA_558,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_582,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_584,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_585,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_586,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_591,declarative,battlecry,local_spec,,0,focused_test_and_regression
CATA_612,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_613,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_615,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_615t,declarative,battlecry,local_spec,,0,focused_test_and_regression
CATA_720,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_722,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_898,legacy_compatibility,,local_legacy,,0,regression_suite_only
CATA_999,legacy_compatibility,,local_legacy,,0,regression_suite_only
CORE_AT_123,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",2,regression_suite_only
CORE_BT_120,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",3,regression_suite_only
CORE_BT_156,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",3,regression_suite_only
CORE_BT_187,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",4,regression_suite_only
CORE_BT_201,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",2,regression_suite_only
